,datetime,datetime,atm_pressure,cloud_cover,dew_point,rain_mm,rh,snow_cover,sunlight_hrs,temp_celsius,visibility,weather_rating,forest area coverage,LowPressure,UUI2
8462,16/07/2017 15:00,Sun,1006.1,10-,24.6,0,68,,1.11,31.2,20,3,0.087407407,0.641067406,6.496224697
8486,17/07/2017 15:00,Mon,1004.9,10-,23.3,0,57,,2.28,32.9,20,3,0.087407407,0.69423634,5.706906749
8510,18/07/2017 15:00,Tue,1002.7,10-,24.6,1.5,97,,0.1,25.1,6,15,0.087407407,0.779026108,5.007685816
8534,19/07/2017 15:00,Wed,1005.1,5,22.2,0,62,,2.09,30.3,20,2,0.087407407,0.685680114,4.309328897
8558,20/07/2017 15:00,Thu,1008.4,3,23.6,0,67,,2.07,30.4,20,2,0.087407407,0.529964052,3.740278491
8582,21/07/2017 15:00,Fri,1009.3,3,22.9,0,58,,2.58,32.2,20,2,0.087407407,0.485004498,3.200621713
8606,22/07/2017 15:00,Sat,1007.3,5,24.3,0,65,,2.65,31.7,25,2,0.087407407,0.584190523,5.005116186
8630,23/07/2017 15:00,Sun,1003,10,23.5,0,77,,0.87,27.9,15,10,0.087407407,0.768524783,7.432915291
8654,24/07/2017 15:00,Mon,997.6,10,24.3,0,67,,1.39,31.2,20,4,0.087407407,0.907207047,6.964101321
8678,25/07/2017 15:00,Tue,998.7,10-,25.5,0,72,,1.12,31.1,20,4,0.087407407,0.88695417,6.012326171
8702,26/07/2017 15:00,Wed,1005,10,22.7,0.5,91,,0.71,24.3,8,10,0.087407407,0.689974481,4.75103883
8726,27/07/2017 15:00,Thu,1007.9,10,20.8,0,75,,0.43,25.6,15,4,0.087407407,0.554779235,3.931240838
8750,28/07/2017 15:00,Fri,1004.8,8,22.1,0,58,,2.08,31.4,20,2,0.087407407,0.698465216,3.894928599
8774,29/07/2017 15:00,Sat,1004,10-,24.7,0,75,,1.03,29.6,20,4,0.087407407,0.731058579,6.338061139
